release_year,release_month,country_x,count_movies,title_x,avg_vote
2017.0,Dec,Canada,2,goon: last of the enforcers,5.8
2019.0,Apr,Egypt,2,warda,4.1
2019.0,Apr,Egypt,2,roh's beauty,3.5
2016.0,Dec,India,2,the violin player,6.9
2016.0,Dec,India,2,interrogation,4.9
2017.0,Aug,Malaysia,2,pekak,6.3
2017.0,Aug,Malaysia,2,kl zombi,4.4
2019.0,Oct,Canada,2,in the tall grass,5.4
2019.0,Oct,Canada,2,a.m.i.,3.9
2017.0,Aug,Australia,2,berlin syndrome,6.3
2017.0,Aug,Australia,2,raising the bar,5.6
2016.0,Dec,United Kingdom,2,captive,4.5
2016.0,Dec,United Kingdom,2,merlin,3.8
2018.0,May,United Kingdom,2,god's own country,6.3
2018.0,May,United Kingdom,2,kaleidoscope,6.0
2017.0,Apr,Spain,2,toro,5.9
2017.0,Apr,Spain,2,skins,3.5
2019.0,Oct,Nigeria,2,93 days,6.0
2019.0,Oct,Nigeria,2,up north,5.2
2018.0,Nov,"United States, Canada",2,cloudy with a chance of meatballs,6.9
2018.0,Nov,"United States, Canada",2,helix,4.3
2019.0,Oct,United Kingdom,2,trainspotting,8.1
2019.0,Oct,United Kingdom,2,free fire,6.4
2016.0,Oct,United States,2,mascots,5.7
2016.0,Oct,United States,2,containment,4.9
2016.0,Nov,India,2,mumbai cha raja,6.4
2016.0,Nov,India,2,ludo,2.8
2018.0,Nov,Indonesia,2,sabrina,7.7
2018.0,Nov,Indonesia,2,target,6.0
2019.0,Sep,France,2,marianne,6.2
2019.0,Sep,France,2,the spy,6.2
2016.0,Nov,United Kingdom,2,sour grapes,5.8
2016.0,Nov,United Kingdom,2,paranoid,4.0
2016.0,Oct,India,2,umrika,6.6
2016.0,Oct,India,2,harud,6.5
2016.0,Nov,United States,2,true memoirs of an international assassin,5.9
2016.0,Nov,United States,2,mercy,5.4
2016.0,Oct,France,2,blind date,6.1
2016.0,Oct,France,2,west coast,5.8
2018.0,Mar,"United Kingdom, United States",2,collateral,7.5
2018.0,Mar,"United Kingdom, United States",2,inconceivable,3.1
2016.0,Dec,Mexico,2,7:19,6.0
2016.0,Dec,Mexico,2,rezeta,5.6
2018.0,Nov,Thailand,2,yes or no 2.5,5.3
2018.0,Nov,Thailand,2,girl from nowhere,3.9
2018.0,Sep,"United Kingdom, United States",2,in darkness,7.3
2018.0,Sep,"United Kingdom, United States",2,the debt collector,6.6
2017.0,Feb,Brazil,2,operações especiais,6.4
2017.0,Feb,Brazil,2,jonas,6.3
2015.0,Sep,United States,2,6 years,5.6
2015.0,Sep,United States,2,smosh: the movie,3.3
2017.0,Feb,South Korea,2,white nights,6.7
2017.0,Feb,South Korea,2,spark,5.4
2015.0,Dec,United States,2,the ridiculous 6,4.8
2015.0,Dec,United States,2,mike epps: don't take it personal,4.3
2019.0,Aug,Netherlands,1,misfit,4.4
2019.0,Aug,Philippines,1,crazy beautiful you,7.1
2012.0,Jul,United States,1,white christmas,7.6
2019.0,Sep,Spain,1,elite,4.5
2019.0,Jul,"United States, China",1,the forbidden kingdom,6.6
2019.0,May,South Korea,1,svaha: the sixth finger,6.2
2018.0,May,Mexico,1,lo más sencillo es complicarlo todo,3.8
2017.0,Jul,Singapore,1,the oath,5.4
2017.0,Dec,"India, Soviet Union",1,shikari,4.5
2017.0,Feb,Argentina,1,la última fiesta,4.4
2017.0,Nov,Singapore,1,together,5.9
2017.0,Oct,"Australia, India",1,sardaarji 2,5.3
2017.0,Oct,"Australia, United Arab Emirates",1,otherlife,6.3
2017.0,Sep,Australia,1,offspring,4.8
2017.0,May,France,1,arès,6.2
2016.0,Dec,Turkey,1,kaçak,6.0
2016.0,Aug,Australia,1,holding the man,7.4
2016.0,Aug,France,1,the little prince,6.6
2016.0,Aug,India,1,dhanak,7.9
2016.0,Aug,United Kingdom,1,children of god,6.7
2016.0,Feb,"China, United States",1,"crouching tiger, hidden dragon: sword of destiny",6.1
2016.0,Jul,India,1,x: past is present,5.3
2016.0,Jul,"India, United Kingdom",1,brahman naman,5.6
2016.0,Jul,Nigeria,1,road to yesterday,6.0
2016.0,Jun,United States,1,the fundamentals of caring,7.3
2016.0,Mar,Canada,1,monkey up,3.8
2016.0,Mar,Spain,1,retribution,5.9
2016.0,Mar,"United Arab Emirates, Jordan",1,zinzana,6.7
2016.0,Mar,"United States, Canada",1,he never died,6.4
2016.0,Apr,United Kingdom,1,africa,4.5
2016.0,Apr,"Canada, United Kingdom, United States",1,special correspondents,5.8
2016.0,Apr,Canada,1,justin time,3.7
2013.0,Dec,United States,1,shrek the musical,7.0
2014.0,Apr,United States,1,weeds,6.0
2014.0,Dec,"United Kingdom, United States",1,get santa,6.2
2014.0,Jan,"United Kingdom, Egypt, United States",1,the square,6.7
2014.0,Nov,Canada,1,goosebumps,6.3
2015.0,Apr,United Kingdom,1,residue,5.4
2015.0,Apr,United States,1,star-crossed,5.5
2015.0,Dec,"Australia, France, Ireland",1,santa's apprentice,6.4
2015.0,Dec,Nigeria,1,fifty,6.0
2015.0,Feb,United States,1,spartacus,7.9
2015.0,Jul,Germany,1,the physician,7.2
2015.0,Jul,United States,1,creep,4.8
2015.0,Jun,United States,1,advantageous,6.2
2015.0,May,United States,1,russell madness,4.2
2015.0,Nov,United States,1,naomi and ely's no kiss list,5.5
2015.0,Oct,"Italy, France",1,suburra,7.4
2015.0,Sep,"Canada, United States",1,haven,5.8
2015.0,Sep,"Norway, United Kingdom, France, Ireland",1,miss julie,6.2
2016.0,Apr,"Belgium, France",1,belgica,6.7
2016.0,May,"Canada, United Kingdom",1,hell on wheels,3.7
2016.0,May,France,1,terra,6.5
2016.0,May,United States,1,the do-over,5.7
2017.0,Apr,"South Africa, United States, Germany",1,shepherds and butchers,6.8
2017.0,Apr,"Spain, Mexico",1,the chosen,7.1
2017.0,Aug,"Australia, Armenia, Japan, Jordan, Mexico, Mongolia, New Zealand, Philippines, South Africa, Sweden, United States, Uruguay",1,barbecue,6.1
2016.0,Nov,"France, Qatar",1,divines,7.4
2016.0,Oct,"Canada, United States",1,i am the pretty thing that lives in the house,4.5
2016.0,Oct,"Chile, United States, France",1,much ado about nothing,7.3
2016.0,Sep,"Canada, United States",1,arq,6.4
2016.0,Sep,"Ireland, United Kingdom, United States",1,penny dreadful,4.9
2016.0,Sep,Netherlands,1,bon bini holland,5.5
2016.0,Sep,"Pakistan, Norway, United States",1,dukhtar,7.0
2018.0,May,"Argentina, Spain",1,despido procedente,5.0
2018.0,Jun,"United States, Canada, Ireland",1,brain on fire,6.6
2012.0,Nov,"United States, Mexico",1,casa de mi padre,5.5
2018.0,Oct,Japan,1,lost song,6.1
2018.0,Aug,Hong Kong,1,loving you,6.5
2018.0,Aug,"India, Iran",1,beyond the clouds,7.0
2018.0,Apr,Bulgaria,1,day of the dead: bloodline,3.4
2018.0,Apr,"Canada, United States",1,kodachrome,6.8
2018.0,Jan,"Czech Republic, United States",1,milada,6.2
2018.0,Jan,"India, France",1,maacher jhol,7.0
2018.0,Feb,Australia,1,emo the musical,6.1
2018.0,Feb,"Czech Republic, United Kingdom, France",1,solomon kane,6.1
2018.0,Feb,France,1,marseille,6.5
